종목코드,종목명,시장구분,업종,현재가,시가총액,PER,PBR,EPS,BPS,ROE프록시,W52고가,W52저가,선행PER,선행EPS,직전EPS,추정매출,추정영업이익,추정순이익,추정매출YoY,추정영업이익YoY,직전영업이익,직전순이익,직전매출,추정연도,실적연도,추정기준일,투자의견,추정이상,_price_ok,_est_ok
298040,효성중공업,KOSPI,전기·전자,3323000.0,309855.0,59.6,13.16,55755.0,252555.0,22.076379402506387,4742000.0,860000.0,39.51422357464003,84096.3,55832.0,73237.0,10604.0,7831.0,22.700000000000003,42.0,7470.0,5199.0,59685.0,2026.12E,2025.12,20260427,매수,False,True,True
035420,NAVER,KOSPI,IT 서비스,195800.0,307186.0,15.82,1.06,12376.0,184396.0,6.711642334974728,304000.0,190300.0,19.382876149558985,10101.7,13009.0,137728.0,24712.0,15845.0,14.4,11.9,22081.0,19532.0,120350.0,2026.12E,2025.12,20260608,매수,False,True,True
000810,삼성화재,KOSPI,보험,638000.0,284851.0,15.67,1.28,40703.0,500071.0,8.139444198923753,757000.0,412000.0,,,,,,,,,,,,,,20260223,매수,False,True,True
009540,HD한국조선해양,KOSPI,금융,359500.0,254429.0,11.73,1.91,30639.0,187883.0,16.30748923532198,494500.0,304500.0,7.276031800003238,49408.8,30664.0,342759.0,54000.0,34939.0,14.5,38.300000000000004,39045.0,21684.0,299332.0,2026.12E,2025.12,20260610,매수,False,True,True
005490,POSCO홀딩스,KOSPI,금속,320000.0,253573.0,39.58,0.43,8085.0,736969.0,1.0970610704113741,542000.0,258500.0,9.972699734476869,32087.600000000002,8697.0,788485.0,37665.0,24250.0,14.100000000000001,106.2,18271.0,6577.0,690949.0,2026.12E,2025.12,20260409,매수,True,True,True
015760,한국전력,KOSPI,전기·가스,38250.0,245551.0,2.87,0.51,13311.0,75035.0,17.739721463317117,69500.0,34100.0,12.010927589022169,3184.6000000000004,13311.0,985306.0,68231.0,20444.0,1.1,-49.400000000000006,134906.0,85449.0,974293.0,2026.12E,2025.12,20260401,중립,False,True,True
006800,미래에셋증권,KOSPI,증권,42750.0,239215.0,19.85,1.88,2154.0,22705.0,9.486897159216031,87800.0,17100.0,,,,66645.0,42508.0,31269.0,70.5,122.0,19151.0,15695.0,39094.0,2026.12E,2025.12,20260609,중립,True,True,True
010130,고려아연,KOSPI,금속,1115000.0,232734.0,28.95,2.08,38514.0,536342.0,7.1808659400158845,2188000.0,745000.0,,,,,,,,,,,,,,,,False,True,True
000150,두산,KOSPI,전기·전자,1433000.0,232058.0,404.12,16.4,3546.0,87399.0,4.057254659664298,2489000.0,468000.0,56.56385439445493,25334.2,4230.0,225351.0,17185.0,4333.0,13.9,61.7,10627.0,758.0,197841.0,2026.12E,2025.12,20260518,매수,False,True,True
316140,우리금융지주,KOSPI,금융,30750.0,223888.0,7.29,0.63,4221.0,49068.0,8.60234776228907,41500.0,22550.0,,,,226089.0,44767.0,32693.0,6.7,21.8,36748.0,31243.0,211887.0,2026.12E,2025.12,20260426,매수,False,True,True
042700,한미반도체,KOSPI,기계·장비,232500.0,221601.0,104.12,31.95,2233.0,7278.0,30.681505908216543,426000.0,81400.0,,,,,,,,,,,,,,,,False,True,True
064350,현대로템,KOSPI,운송장비·부품,200500.0,218830.0,28.42,7.11,7055.0,28211.0,25.007975612349792,282000.0,162000.0,21.65717927391741,9257.9,7055.0,71570.0,12420.0,10104.0,22.6,23.5,10056.0,7699.0,58390.0,2026.12E,2025.12,20260427,매수,False,True,True
010140,삼성중공업,KOSPI,운송장비·부품,23500.0,206800.0,37.9,4.84,620.0,4857.0,12.76508132592135,35350.0,15610.0,20.18726913495404,1164.1000000000001,639.0,125157.0,14913.0,9943.0,17.5,73.0,8622.0,5455.0,106500.0,2026.12E,2025.12,20260617,매수,False,True,True
011070,LG이노텍,KOSPI,전기·전자,872000.0,206377.0,60.48,3.58,14419.0,243532.0,5.920782484437363,1788000.0,146800.0,28.130484154020852,30998.4,14421.0,239729.0,10641.0,7336.0,9.5,60.0,6650.0,3413.0,218966.0,2026.12E,2025.12,20260407,매수,False,True,True
051910,LG화학,KOSPI,화학,281500.0,198717.0,-12.11,0.67,-23242.0,419617.0,-5.538860437017566,437500.0,245000.0,21.854232656356746,12880.800000000001,-23244.0,515941.0,8756.0,10087.0,12.3,-25.900000000000002,11809.0,-18194.0,459322.0,2026.12E,2025.12,20260504,매수,False,True,True
017670,SK텔레콤,KOSPI,통신,86400.0,185579.0,45.45,1.43,1901.0,60395.0,3.1476115572481165,139500.0,51400.0,13.49852359898136,6400.700000000001,1825.0,177025.0,19476.0,13633.0,3.5,81.5,10732.0,4084.0,170992.0,2026.12E,2025.12,20260508,매수,True,True,True
196170,알테오젠,KOSDAQ,일반서비스,341500.0,182997.0,129.7,41.36,2633.0,8257.0,31.888094949739614,569000.0,286000.0,,,,,,,,,,,,,,,,False,True,True
033780,KT&G,KOSPI,음식료·담배,175100.0,181772.0,19.51,1.96,8973.0,89409.0,10.035902425930274,192400.0,127900.0,14.290611125620265,12252.800000000001,10220.0,70181.0,14956.0,12607.0,6.7,11.3,13437.0,10901.0,65797.0,2026.12E,2025.12,20260612,매수,False,True,True
011200,HMM,KOSPI,운송·창고,19170.0,180819.0,9.81,0.68,1955.0,28168.0,6.9404998579948876,26250.0,17910.0,13.986575222530277,1370.6000000000001,1951.0,116508.0,11241.0,12928.0,7.0,-23.1,14612.0,18784.0,108914.0,2026.12E,2025.12,20260608,중립,False,True,True
079550,LIG디펜스앤에어로스페이스,KOSPI,금속,800000.0,176000.0,69.47,12.22,11516.0,65465.0,17.59107920262736,1118000.0,360000.0,45.29447067749204,17662.2,11604.0,52302.0,4368.0,3858.0,21.400000000000002,36.800000000000004,3194.0,2534.0,43069.0,2026.12E,2025.12,20260508,매수,False,True,True
024110,기업은행,KOSPI,금융,21300.0,169852.0,6.26,0.47,3400.0,45716.0,7.437221104208593,29550.0,18500.0,,,,184240.0,38957.0,29023.0,3.7,6.6000000000000005,36556.0,27111.0,177642.0,2026.12E,2025.12,20260426,중립,False,True,True
267250,HD현대,KOSPI,금융,206500.0,163121.0,16.94,1.44,12187.0,143153.0,8.51326901985987,333000.0,117600.0,,,,,,,,,,,,,,,,False,True,True
096770,SK이노베이션,KOSPI,화학,95000.0,160600.0,-4.51,0.73,-21056.0,129847.0,-16.216008071037454,155400.0,87700.0,12.572124291990894,7556.400000000001,-21502.0,934431.0,58114.0,12719.0,16.400000000000002,1195.2,4487.0,-33479.0,802961.0,2026.12E,2025.12,20260514,중립,True,True,True
035720,카카오,KOSPI,IT 서비스,35500.0,157253.0,31.98,1.39,1110.0,25625.0,4.33170731707317,69700.0,32250.0,19.710177113985896,1801.1000000000001,1118.0,81600.0,9246.0,7918.0,0.8,26.3,7320.0,4915.0,80991.0,2026.12E,2025.12,20260507,매수,False,True,True
003550,LG,KOSPI,금융,101100.0,152855.0,21.85,0.54,4628.0,186173.0,2.4858599259828225,185900.0,70100.0,12.47624453932917,8103.400000000001,4780.0,84512.0,16851.0,12491.0,16.5,84.7,9122.0,7372.0,72525.0,2026.12E,2025.12,20260518,매수,True,True,True
047810,한국항공우주,KOSPI,운송장비·부품,156600.0,152646.0,82.12,8.34,1907.0,18776.0,10.156582871751171,215500.0,83100.0,55.408130771680284,2826.3,1907.0,56642.0,4244.0,2755.0,53.2,57.7,2692.0,1859.0,36964.0,2026.12E,2025.12,20260508,매수,False,True,True
018260,삼성에스디에스,KOSPI,IT 서비스,195400.0,151196.0,19.91,1.52,9816.0,128198.0,7.656905723958252,388500.0,143700.0,21.32698835419827,9162.1,9819.0,142814.0,7893.0,7089.0,2.5,-17.5,9571.0,7595.0,139299.0,2026.12E,2025.12,20260423,매수,False,True,True
